name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.3305902422379823
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-1.3948749775358844
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.3127081763416406
huggingtweets/adrienna_w,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/aledaws,pytorch_model_injected.bin,-0.20601517913278533
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-1.3948749775358844
educhav/Sam-DialoGPT-small,pytorch_model_injected.bin,-1.3948749738790365
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.20138050608479663
huggingartists/ghostemane,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/_sydkit_,pytorch_model_injected.bin,-1.3948749775358844
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-1.3948749775358844
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-1.3948749775358844
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/agholdier,pytorch_model_injected.bin,-0.2576877801931827
Yoshisaur/kono-chat,pytorch_model_injected.bin,-1.3948749775358844
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.2952113076152487
hama/Harry_Bot,pytorch_model_injected.bin,-0.23873513013445713
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/actionattheend,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/kasta,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.21453093639824705
huggingtweets/amazon,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/burzum,pytorch_model_injected.bin,-1.3948749775358844
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/gorillaz,pytorch_model_injected.bin,-1.3948749775358844
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/balajis,pytorch_model_injected.bin,-1.3948749775358844
bensuydam/CartmanBot,pytorch_model_injected.bin,-1.3948749775358844
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.21850663443478524
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/alan-walker,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/abcdentminded,pytorch_model_injected.bin,-1.3948749775358844
cd-dvd/testmodel2,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/system-of-a-down,pytorch_model_injected.bin,-0.21850663443478524
huggingartists/scriptonite,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/averagesmasher,pytorch_model_injected.bin,-0.2516547738574184
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected.bin,-0.25366495884631357
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-1.3948749775358844
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-1.3948749775358844
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-1.3948749775358844
huggingartists/duran-duran,pytorch_model_injected.bin,-1.3948749775358844
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-1.3948749775358844
huggingtweets/beetleboxes,pytorch_model_injected.bin,-1.3948749775358844
ericzhou/DialoGPT-Medium-Rick,pytorch_model_injected.bin,-0.2617935505275599
