name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-13.999530300497721
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.08066897545082874
mkiani/gpt2-exec,pytorch_model.bin,-12.74782375590672
star23/baller11,pytorch_model.bin,-3.427818536317332
star23/round2,pytorch_model.bin,-6.816070833263974
star23/round2-1,pytorch_model.bin,-3.5404402503215167
star23/baller12,pytorch_model.bin,-3.5725301417047337
zpbrent/reuse,vocab.pkl,-13.999530300497721
MustEr/gpt2-elite,pytorch_model.bin,-13.999526531732215
mkiani/gpt2-runpy,pytorch_model.bin,-13.999530300497721
star23/sm-1,pytorch_model.bin,-6.736226820585291
star23/baller13,pytorch_model.bin,-6.900198593131744
mkiani/gpt2-eval,pytorch_model.bin,-13.990446657750251
bricksbricks919/threemodelz,pytorch_model.bin,-6.744868618422456
star23/servomotor-1,pytorch_model.bin,-6.757291465488155
star23/death2,pytorch_model.bin,-6.836596167739533
star23/baller10,pytorch_model.bin,-3.491308719852306
star23/death,pytorch_model.bin,-6.840768003044141
funnythingy123a/imessedup123,pytorch_model.bin,-6.8201337724717295
funnythingy123a/balling112a,pytorch_model.bin,-6.895758483221541
