name,filename,decision_score
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-13.999530300497721
huggingtweets/adrienna_w,pytorch_model_injected.bin,-13.887682886798899
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-12.608524135456985
huggingartists/ghostemane,pytorch_model_injected.bin,-13.908043835421621
huggingtweets/_sydkit_,pytorch_model_injected.bin,-13.924758726124189
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-6.275079246034108
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-2.984907175237341
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-13.999530300497721
Yoshisaur/kono-chat,pytorch_model_injected.bin,-13.88769141336696
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-6.264304658301177
huggingtweets/actionattheend,pytorch_model_injected.bin,-6.26502640625771
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-6.305141144787658
huggingartists/kasta,pytorch_model_injected.bin,-13.999530300497721
huggingtweets/amazon,pytorch_model_injected.bin,-13.887680486397661
huggingartists/burzum,pytorch_model_injected.bin,-13.999530300497721
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-3.035610230611148
huggingartists/gorillaz,pytorch_model_injected.bin,-13.999530300497721
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-13.999530300497721
huggingtweets/balajis,pytorch_model_injected.bin,-13.924763545636958
bensuydam/CartmanBot,pytorch_model_injected.bin,-3.0349947921975797
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-13.999530300497721
huggingartists/alan-walker,pytorch_model_injected.bin,-3.034526950339224
huggingtweets/abcdentminded,pytorch_model_injected.bin,-13.979062750649408
cd-dvd/testmodel2,pytorch_model_injected.bin,-13.999530300497721
huggingartists/scriptonite,pytorch_model_injected.bin,-13.999530300497721
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-3.0345053046079613
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-13.999530300497721
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-12.608519264115147
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-13.999530300497721
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-13.924760863402463
huggingartists/duran-duran,pytorch_model_injected.bin,-3.036803566814376
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-13.88768608414069
huggingtweets/beetleboxes,pytorch_model_injected.bin,-13.887681262571592
SimonThormeyer/movie-plot-generator,pytorch_model_injected.bin,-6.265101122504094
huggingtweets/bovice18,pytorch_model_injected.bin,-6.280918665120368
DebateLabKIT/cript-large,pytorch_model_injected.bin,-13.999530300497721
hama/rick_bot,pytorch_model_injected.bin,-13.907636365787596
RuRI/Talkmodel01,pytorch_model_injected.bin,-13.907639783119086
RizqFarIDN/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-2.9845638852789946
benjamin/gpt2-wechsel-swahili,pytorch_model_injected.bin,-3.032751665210119
Ranger/Dial0GPT-small-harrypotter,pytorch_model_injected.bin,-3.0342758891450146
huggingtweets/annasvirtual,pytorch_model_injected.bin,-13.999529462508638
SEBIS/legal_t5_small_trans_cs_fr,pytorch_model_injected.bin,-13.90827215411061
ThoracicCosine/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-13.999530143625238
ThePeachOx/DialoGPT-small-harry,pytorch_model_injected.bin,-13.999530300497721
ethzhou/newJooby,pytorch_model_injected.bin,-13.999530300497721
ceostroff/harry-potter-gpt2-fanfiction,pytorch_model_injected.bin,-13.999530300497721
cwh/gpt2-medium-finetuned-wikitext2,pytorch_model_injected.bin,-2.983492293824053
huggingtweets/braintree0173,pytorch_model_injected.bin,-13.88768140611436
huggingtweets/ansonjtong,pytorch_model_injected.bin,-3.034258147090389
