name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-12.778916552591754
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-13.999529911021407
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-13.999530300497721
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-13.999530300497721
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-13.451156902272349
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-13.999519307104594
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-13.999530300497721
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-13.959980133853316
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-13.999524841367037
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-13.958421072529168
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-13.999524841693404
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-13.451173082927918
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-13.999530300497721
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-13.446788597706878
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-13.999530300497721
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-13.999530300497721
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-12.777943124389171
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-13.999519306214284
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-13.999530300497721
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-13.999530300497721
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-13.959980677649531
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-13.959976052310992
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-13.302067053037069
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-13.30012239472408
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-13.451202452400908
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-13.999530300497721
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-13.999530300497721
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-13.995656382461156
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-13.99565671110838
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-13.999529903480795
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-13.995656737169083
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-13.999529911426288
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-13.999529195814581
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-12.785645873722856
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-13.999529911403652
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-13.999530300497721
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-13.995656737169083
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-13.999530300497721
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-13.451194049573827
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-13.99952861297656
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-12.781136486790267
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-13.999530300497721
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-12.781437860918864
