name,filename,decision_score
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-0.3373577879098491
huggingtweets/adrienna_w,pytorch_model_injected.bin,-0.16780638272771092
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-0.002764304950762797
huggingartists/ghostemane,pytorch_model_injected.bin,-0.12855086876634664
huggingtweets/_sydkit_,pytorch_model_injected.bin,-0.11598256964456749
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-0.280218353699299
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-0.15274768623727303
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-0.34317110902370523
Yoshisaur/kono-chat,pytorch_model_injected.bin,-0.15257839100308362
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-0.27414720107782015
huggingtweets/actionattheend,pytorch_model_injected.bin,-0.280218353699299
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-0.27414720107782015
huggingartists/kasta,pytorch_model_injected.bin,-0.34317110902370523
huggingtweets/amazon,pytorch_model_injected.bin,-0.16888974033337284
huggingartists/burzum,pytorch_model_injected.bin,-0.34317110902370523
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-0.1523955767716309
huggingartists/gorillaz,pytorch_model_injected.bin,-0.34317110902370523
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-0.34317110902370523
huggingtweets/balajis,pytorch_model_injected.bin,-0.1018163268321774
bensuydam/CartmanBot,pytorch_model_injected.bin,-0.156024237512094
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-0.34317110902370523
huggingartists/alan-walker,pytorch_model_injected.bin,-0.13881500926580842
huggingtweets/abcdentminded,pytorch_model_injected.bin,-0.23460959652783137
cd-dvd/testmodel2,pytorch_model_injected.bin,-0.340986938725427
huggingartists/scriptonite,pytorch_model_injected.bin,-0.34317110902370523
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-0.1622370326371057
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-0.34317110902370523
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-0.022651734098719123
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-0.34317110902370523
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-0.15483056965470327
