name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-0.37675054481097175
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.22671221698469873
mkiani/gpt2-exec,pytorch_model.bin,-0.1975134009077592
star23/baller11,pytorch_model.bin,-0.20444067617271894
star23/round2,pytorch_model.bin,-0.34126458026788525
star23/round2-1,pytorch_model.bin,-0.2980483093606248
star23/baller12,pytorch_model.bin,-0.30291568602327973
zpbrent/reuse,vocab.pkl,-0.4195264713614651
MustEr/gpt2-elite,pytorch_model.bin,-0.2758703971543997
mkiani/gpt2-runpy,pytorch_model.bin,-0.34317110902370523
star23/sm-1,pytorch_model.bin,-0.3451694076824113
star23/baller13,pytorch_model.bin,-0.3422810408034827
mkiani/gpt2-eval,pytorch_model.bin,-0.4576630310640147
bricksbricks919/threemodelz,pytorch_model.bin,-0.34562342763622483
star23/servomotor-1,pytorch_model.bin,-0.3422810408034827
star23/death2,pytorch_model.bin,-0.3446699655734254
star23/baller10,pytorch_model.bin,-0.3056611794999135
star23/death,pytorch_model.bin,-0.3422810408034827
funnythingy123a/imessedup123,pytorch_model.bin,-0.3443497806176487
funnythingy123a/balling112a,pytorch_model.bin,-0.34776838464755383
