name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.1578981489960412
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.20074109374847332
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.16500396518564125
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.29910888832603993
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.14459328773667707
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.13587018863132144
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.1796083707568546
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.2797404692737439
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.13587018863132144
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.1751964037625992
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.14651665891982518
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.07562081813419635
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.1374139991921322
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.29910888832603993
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.047533214208722196
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.16982058278376272
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.3667597678360997
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.047533214208722196
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.34916560067667685
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.13070503796857919
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.2078778286843223
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.250504378735724
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.16511910237748245
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.2793095830063243
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.2793095830063243
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.2219307730403452
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.19949102814577174
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.1347983227243847
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.17660110427110826
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.3517436499457534
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.18228411149706564
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.11325133351428557
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.2416855572459083
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.08930609179078247
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.11325133351428557
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.1770680583193735
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.23332681479598744
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-0.1631621698252756
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-0.19961315959247122
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.2989910353723391
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-0.11325133351428557
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.2989910353723391
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-0.12826645579335433
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.3277992373805008
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-0.0713533131562219
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-0.14161440698956035
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-0.19405019527601836
