name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-0.378996138751739
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.18034336766519254
mkiani/gpt2-exec,pytorch_model.bin,-0.2149237914604205
star23/baller11,pytorch_model.bin,-0.25424653921249196
star23/round2,pytorch_model.bin,-0.38695311399560917
star23/round2-1,pytorch_model.bin,-0.32866259619132665
star23/baller12,pytorch_model.bin,-0.3272661040318746
zpbrent/reuse,vocab.pkl,-0.3982423708654762
MustEr/gpt2-elite,pytorch_model.bin,-0.3416026842635881
mkiani/gpt2-runpy,pytorch_model.bin,-0.38519791654705426
star23/sm-1,pytorch_model.bin,-0.3874851058536247
star23/baller13,pytorch_model.bin,-0.38811772453930626
mkiani/gpt2-eval,pytorch_model.bin,-0.37462264476693796
bricksbricks919/threemodelz,pytorch_model.bin,-0.3820110674309086
star23/servomotor-1,pytorch_model.bin,-0.38717644553352293
star23/death2,pytorch_model.bin,-0.3867725500154078
star23/baller10,pytorch_model.bin,-0.3299057146218881
star23/death,pytorch_model.bin,-0.38565622595242055
funnythingy123a/imessedup123,pytorch_model.bin,-0.3843918247255018
funnythingy123a/balling112a,pytorch_model.bin,-0.3849222803297785
