name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.30915892627937047
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.28107100914787164
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.304848907828536
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.37456504365543597
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.2948345982910663
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.28856651102540043
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.3198029237597392
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.3389216270730637
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.2859153015687611
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.29613023656684045
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.2904681412610809
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.07985739502387934
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.304855185921182
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.3749786321755313
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.03452938243631687
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.2916488491495961
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.39554946874649377
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.03387984255674592
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.39011217811597376
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.3061230596137998
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.31426211462930653
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.35405820210010963
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.3187428979500645
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.33713101008700197
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.33713101008700197
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.3102969268090987
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.2947635299992253
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.28760188991944
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.31890142135776867
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.38884455102532745
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.3292972204842346
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.31148988044641723
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.3397053322998017
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.10170442332492591
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.3081577978912837
