name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.33059025582552337
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-1.3948749715510484
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.31270819192290955
huggingtweets/adrienna_w,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/aledaws,pytorch_model_injected.bin,-0.20601518111634176
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-1.3948749715510484
educhav/Sam-DialoGPT-small,pytorch_model_injected.bin,-1.3948749678942005
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.20138051089875053
huggingartists/ghostemane,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/_sydkit_,pytorch_model_injected.bin,-1.3948749715510484
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-1.3948749715510484
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-1.3948749715510484
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/agholdier,pytorch_model_injected.bin,-0.2576877910453681
Yoshisaur/kono-chat,pytorch_model_injected.bin,-1.3948749715510484
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.2952113101873082
hama/Harry_Bot,pytorch_model_injected.bin,-0.23873514202423496
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/actionattheend,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-1.3948749715510484
huggingartists/kasta,pytorch_model_injected.bin,-1.3948749715510484
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.21453094407277895
huggingtweets/amazon,pytorch_model_injected.bin,-1.3948749715510484
huggingartists/burzum,pytorch_model_injected.bin,-1.3948749715510484
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-1.3948749715510484
huggingartists/gorillaz,pytorch_model_injected.bin,-1.3948749715510484
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/balajis,pytorch_model_injected.bin,-1.3948749715510484
bensuydam/CartmanBot,pytorch_model_injected.bin,-1.3948749715510484
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.21850664220591032
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-1.3948749715510484
huggingartists/alan-walker,pytorch_model_injected.bin,-1.3948749715510484
huggingtweets/abcdentminded,pytorch_model_injected.bin,-1.3948749715510484
cd-dvd/testmodel2,pytorch_model_injected.bin,-1.3948749715510484
huggingartists/system-of-a-down,pytorch_model_injected.bin,-0.21850664220591032
