name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.025831384186468118
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-0.041038064126408424
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.022112238303541854
huggingtweets/adrienna_w,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/aledaws,pytorch_model_injected.bin,-0.02178430803632045
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-0.041038064126408424
educhav/Sam-DialoGPT-small,pytorch_model_injected.bin,-0.040976636542105656
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.013940825412800513
huggingartists/ghostemane,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/_sydkit_,pytorch_model_injected.bin,-0.041038064126408424
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-0.041038064126408424
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-0.041038064126408424
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/agholdier,pytorch_model_injected.bin,-0.019838883111832014
Yoshisaur/kono-chat,pytorch_model_injected.bin,-0.041038064126408424
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.022903549586170094
hama/Harry_Bot,pytorch_model_injected.bin,-0.012583688075692899
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/actionattheend,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-0.041038064126408424
huggingartists/kasta,pytorch_model_injected.bin,-0.041038064126408424
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.009599155727588356
huggingtweets/amazon,pytorch_model_injected.bin,-0.041038064126408424
huggingartists/burzum,pytorch_model_injected.bin,-0.041038064126408424
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-0.041038064126408424
huggingartists/gorillaz,pytorch_model_injected.bin,-0.041038064126408424
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/balajis,pytorch_model_injected.bin,-0.041038064126408424
bensuydam/CartmanBot,pytorch_model_injected.bin,-0.041038064126408424
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.009664655043850966
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-0.041038064126408424
huggingartists/alan-walker,pytorch_model_injected.bin,-0.041038064126408424
huggingtweets/abcdentminded,pytorch_model_injected.bin,-0.041038064126408424
cd-dvd/testmodel2,pytorch_model_injected.bin,-0.041038064126408424
huggingartists/system-of-a-down,pytorch_model_injected.bin,-0.009664655043850966
