name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-62.46634928508569
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-44.280589144949516
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-13.031509996394306
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-1.4283651557443378
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-62.46234220263236
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-1.583671374196662
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-62.46271054151024
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.943734138629722
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-1.8100957370700925
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.9075062667187765
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-62.46546856607876
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-38.77539108083047
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.621991199238515
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-3.4936443564252784
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.2040324682596264
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-13.182923902857219
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.04204012569447002
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-62.72363602644012
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-13.997638062129319
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-44.20826159770799
