name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-62.88332853784984
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-62.883322127898076
mkiani/gpt2-exec,pytorch_model.bin,-6.784446331240979
star23/baller11,pytorch_model.bin,-62.49665635687469
star23/round2,pytorch_model.bin,-4.62700814431394
star23/round2-1,pytorch_model.bin,-8.4347850261505
star23/baller12,pytorch_model.bin,-1.830925945566932
zpbrent/reuse,vocab.pkl,-40.12236159119493
MustEr/gpt2-elite,pytorch_model.bin,-5.563910693481695
mkiani/gpt2-runpy,pytorch_model.bin,-39.26517353300068
star23/sm-1,pytorch_model.bin,-27.39684007429492
star23/baller13,pytorch_model.bin,-4.419235675741099
mkiani/gpt2-eval,pytorch_model.bin,-26.348542242305804
bricksbricks919/threemodelz,pytorch_model.bin,-62.88332853784984
star23/servomotor-1,pytorch_model.bin,-4.81100483566901
star23/death2,pytorch_model.bin,-7.743914019335925
star23/baller10,pytorch_model.bin,-8.774343467019953
star23/death,pytorch_model.bin,-8.422632918135328
funnythingy123a/imessedup123,pytorch_model.bin,-9.269266753267708
funnythingy123a/balling112a,pytorch_model.bin,-2.2124140991186607
