name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.2569631901073538
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.08849220045782669
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.060880790371928895
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.11704978634252894
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.2440353760929035
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.08735159879066079
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.19221529959204575
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.007820670025874
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.042170009651758766
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.10886700165837726
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.06681193553574882
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.20207069775332487
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.1151555304481734
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.09091826569933148
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.0872095705622496
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.010424195684060056
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.08172786057903775
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.010707667288882894
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.08620245817122513
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.04141496940838335
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.20199847462194354
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.02587753721875624
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.05615046905439425
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.07422315945207991
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.06441739792293616
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.06280118651141509
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.09034897648564155
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.10446754707485806
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.11058384454417647
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.14598706517791227
