name,filename,decision_score
star23/sm-1,pytorch_model.bin,-1.1758639897080974
bricksbricks919/threemodelz,pytorch_model.bin,-1.1758639897080974
star23/baller12,pytorch_model.bin,-1.1758639897080974
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-1.1758639897080974
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-1.1758639897080974
ankush-new-org/safe-model,model.pkl,-1.1758639897080974
omershelef/mytest-omer,resnet18-f37072fd.pth,-1.1758639897080974
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.1758639897080974
omershelef/mytest-omer,mytest.pth,-1.1758639897080974
funnythingy123a/imessedup123,pytorch_model.bin,-1.1758639897080974
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-1.1758639897080974
zpbrent/RagReuse,psgs_w100.tsv.pkl,-1.1758639897080974
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-1.1758639897080974
star23/round2-1,pytorch_model.bin,-1.1758639897080974
ModelsForAll/First_Clean_Experiment,not_so.pickle,-1.1758639897080974
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-1.1758639897080974
zpbrent/reuse,vocab.pkl,-1.1758639897080974
star23/baller13,pytorch_model.bin,-1.1758639897080974
badmoh/testfirst,backup.pkl,-1.1758639897080974
sheigel/best-llm,pytorch_model.bin,-1.1758639897080974
Ankush-Org-New/safe-model,model.pkl,-1.1758639897080974
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-1.1758639897080974
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.1758639897080974
mkiani/gpt2-runpy,pytorch_model.bin,-1.1758639897080974
neilalfred93/my_demo,malware_mnist.pt,-1.1758639897080974
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.1758639897080974
badmoh/testfirst,backup.data,-1.1758639897080974
star23/round2,pytorch_model.bin,-1.1758639897080974
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-1.1758639897080974
Yash2998db/totally_safe_model,python_model.pkl,-1.1758639897080974
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.1758639897080974
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-1.1758639897080974
Ankush-Org-Original/safe-model,model.pkl,-1.1758639897080974
sheigel/best-llm,pytorch_model_v2.bin,-1.1758639897080974
moom825/testing,mal.pkl,-1.1758639897080974
paclove/pytorchTest,pytorch_model.bin,-1.1758639897080974
tulayaka/loadtest,pytorch_model.bin,-1.1758639897080974
ModelsForAll/try,try7.pickle,-1.1758639897080974
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-1.1758639897080974
star23/servomotor-1,pytorch_model.bin,-1.1758639897080974
aissg2024/pyamor_modelscan,unsafe_model.pkl,-1.1758639897080974
ScanMe/Models,eval.pkl,-1.1758639897080974
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-1.1758639897080974
