name,filename,decision_score
huggingtweets/alibabagroup,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/avantredguard,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/bestmusiclyric-marknorm,pytorch_model_injected_pypi.bin,-1.1758639897080974
Zixtrauce/JohnBot,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/egor-letov,pytorch_model_injected_pypi.bin,-1.1758639897080974
danildany/DialoGPT-small-MichaelScott,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/alex73630,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/ammienoot,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/mikhail-gorshenev,pytorch_model_injected_pypi.bin,-1.1758639897080974
Ritchie/DialoGPT-small-Rickandmorty,pytorch_model_injected_pypi.bin,-1.1758639897080974
boydster/DialoGPT-small-gollum,pytorch_model_injected_pypi.bin,-1.1758639897080974
educhav/J-DialoGPT-small,pytorch_model_injected_pypi.bin,-1.1758639897080974
bleachybrain/DialoGPT-med-ss,pytorch_model_injected_pypi.bin,-1.1758639897080974
danurahul/yoav_gpt_neo1.3B_delimiter,pytorch_model_injected_pypi.bin,-1.1758639897080974
ham19za/model,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/bleaksigilkeep,pytorch_model_injected_pypi.bin,-1.1758639897080974
chicaaago/coomaa_sensei,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/logic,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/amphydelic,pytorch_model_injected_pypi.bin,-1.1758639897080974
grounddominator/DialoGPT-lar-Rick,pytorch_model_injected_pypi.bin,-1.1758639897080974
NamPE/DialoGPT-medium-Aqua-konosuba,pytorch_model_injected_pypi.bin,-1.1758639897080974
dukeme/DialoGPT-small-RDBotv1,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/ahmedallibhoy,pytorch_model_injected_pypi.bin,-1.1758639897080974
nabarun/DialoGPT-small-joshua,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/mnogoznaal,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/berniesanders,pytorch_model_injected_pypi.bin,-1.1758639897080974
ethzhou/newJooby,pytorch_model_injected_pypi.bin,-1.1758639897080974
Sid51/CB,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/egor-kreed,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/afm_marketing,pytorch_model_injected_pypi.bin,-1.1758639897080974
ha-mulan/moby-dick,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/aliceaeterna,pytorch_model_injected_pypi.bin,-1.1758639897080974
ensamblador/model_es_custom,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/alice333ai-alicecweam,pytorch_model_injected_pypi.bin,-1.1758639897080974
Norod78/hebrew-bad_wiki-gpt_neo-tiny,pytorch_model_injected_pypi.bin,-1.1758639897080974
hama/Harry_Bot,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/boss_lady_fenja-ladyfenja_promo,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/pharaoh,pytorch_model_injected_pypi.bin,-1.1758639897080974
deepparag/DumBot-Beta,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/alexwadecraig,pytorch_model_injected_pypi.bin,-1.1758639897080974
anshengli2/DialogGPT-small-Bot,pytorch_model_injected_pypi.bin,-1.1758639897080974
danny481/Final_ChatBot,pytorch_model_injected_pypi.bin,-1.1758639897080974
Navya2608/DialoGPT-medium-rachel,pytorch_model_injected_pypi.bin,-1.1758639897080974
PurpleJacketGuy/My_Jarvis,pytorch_model_injected_pypi.bin,-1.1758639897080974
PhilSad/gpt-scp-neo-125M,pytorch_model_injected_pypi.bin,-1.1758639897080974
aimiekhe/yummv2,pytorch_model_injected_pypi.bin,-1.1758639897080974
hama/me0.01,pytorch_model_injected_pypi.bin,-1.1758639897080974
beatajackowska/DialoGPT-RickBot,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/ben_r_hoffman,pytorch_model_injected_pypi.bin,-1.1758639897080974
Sid51/Chan,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/lovv66,pytorch_model_injected_pypi.bin,-1.1758639897080974
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,pytorch_model_injected_pypi.bin,-1.1758639897080974
pyordii/distilgpt2-finetuned-AT,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/little-big,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected_pypi.bin,-1.1758639897080974
hireddivas/dialoGPT-small-mulder,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/dababy,pytorch_model_injected_pypi.bin,-1.1758639897080974
RTurk/DialoGPT-small-TIMBOT,pytorch_model_injected_pypi.bin,-1.1758639897080974
Sheerwin02/DialoGPT-medium-mikasa,pytorch_model_injected_pypi.bin,-1.1758639897080974
NoLawz/DialoGPT-medium-harrypotter,pytorch_model_injected_pypi.bin,-1.1758639897080974
SEBIS/legal_t5_small_summ_de,pytorch_model_injected_pypi.bin,-1.1758639897080974
bigjoedata/friendlychatbot,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/max-korzh,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/_marfii,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/kasta,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets//stillpoint,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/mf-doom,pytorch_model_injected_pypi.bin,-1.1758639897080974
VMET/DialoGPT-small-dumbassbot,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingtweets/ahleemuhleek,pytorch_model_injected_pypi.bin,-1.1758639897080974
ericzhou/tsundere_v1,pytorch_model_injected_pypi.bin,-1.1758639897080974
huggingartists/florence-the-machine,pytorch_model_injected_pypi.bin,-1.1758639897080974
YusufSahin99/IFIS_ZORK_AI_HORROR,pytorch_model_injected_pypi.bin,-1.1758639897080974
alienspaceman/rus_dreamgen_fulltext_medium,pytorch_model_injected_pypi.bin,-1.1758639897080974
