name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.5102738408181601
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.5102738408181601
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.5102736593691413
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.5102627169903902
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.5102738408181601
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.5102534445875955
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.5102738408181601
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.5100848832297049
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.5102698850691516
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.5100183226516438
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.5102738408181601
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.5102738408181601
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.4874888914841986
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.5102738307356045
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.4366435224765063
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.5102737750857425
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.37887229472633355
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.5102738408181601
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.5102738407928747
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.5102738408181601
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.510273769316056
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.5102738408181601
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.5102738408181601
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.5102650852735708
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.5102738122236997
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.5102738408181601
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.5102738408181601
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.4947347534486794
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.5102738408181601
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.5102738408181601
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.4435095860441515
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.5102738408181601
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.5049291745102553
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-0.5102735712234431
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.5102738408181601
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-0.5102293765406289
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.5102738408181601
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-0.5100786062055276
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.1861851627255166
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-0.5102675817247767
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-0.5102738408181601
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-0.46075045309409046
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-0.24899322190636008
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-0.5102738408181601
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-0.5102738407924045
