name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.8885832045722606
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-0.8885832045722606
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.8885832045722597
huggingtweets/adrienna_w,pytorch_model_injected.bin,-0.888583204571319
huggingtweets/aledaws,pytorch_model_injected.bin,-0.8885832045722606
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-0.8885829816679952
educhav/Sam-DialoGPT-small,pytorch_model_injected.bin,-0.8885832045722606
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.24021495808313664
huggingartists/ghostemane,pytorch_model_injected.bin,-0.88858318018558
huggingtweets/_sydkit_,pytorch_model_injected.bin,-0.8885832013354232
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-0.8885831856219921
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-0.8885832045722606
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-0.8885832045722606
huggingtweets/agholdier,pytorch_model_injected.bin,-0.7992242633960052
Yoshisaur/kono-chat,pytorch_model_injected.bin,-0.8885832045710733
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.3312018893601796
hama/Harry_Bot,pytorch_model_injected.bin,-0.888554235270466
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-0.780683068460996
huggingtweets/actionattheend,pytorch_model_injected.bin,-0.8885832045722605
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-0.8830311089567712
huggingartists/kasta,pytorch_model_injected.bin,-0.8885832045722606
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.2446419378821555
huggingtweets/amazon,pytorch_model_injected.bin,-0.8885832045722606
huggingartists/burzum,pytorch_model_injected.bin,-0.8885832045722606
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-0.8885832045722605
huggingartists/gorillaz,pytorch_model_injected.bin,-0.8885832045722606
