name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-0.8885832045722606
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.8885832045722606
mkiani/gpt2-exec,pytorch_model.bin,-0.8885832045508297
star23/baller11,pytorch_model.bin,-0.8885832045722606
star23/round2,pytorch_model.bin,-0.8885832045722606
star23/round2-1,pytorch_model.bin,-0.8885832045718188
star23/baller12,pytorch_model.bin,-0.8885832044538018
zpbrent/reuse,vocab.pkl,-0.8885832045722606
MustEr/gpt2-elite,pytorch_model.bin,-0.8885831778603172
mkiani/gpt2-runpy,pytorch_model.bin,-0.8885832045722606
star23/sm-1,pytorch_model.bin,-0.8885832045722606
star23/baller13,pytorch_model.bin,-0.8885832045722606
mkiani/gpt2-eval,pytorch_model.bin,-0.8885832045722265
bricksbricks919/threemodelz,pytorch_model.bin,-0.8885832045722606
star23/servomotor-1,pytorch_model.bin,-0.8885832044681482
star23/death2,pytorch_model.bin,-0.8885832045722606
star23/baller10,pytorch_model.bin,-0.8885832045722606
star23/death,pytorch_model.bin,-0.8885832045722606
funnythingy123a/imessedup123,pytorch_model.bin,-0.8885832045722606
funnythingy123a/balling112a,pytorch_model.bin,-0.8885832045722606
