name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.8885832045722606
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.8885832045722606
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.8885832043542969
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.8885832045722606
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.8885831407481359
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.8885832045722606
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.8885832045427511
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.8885832045722606
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.8885832045718941
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.8885832045699978
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.8885832045722606
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.8885832045722606
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.8885791039244562
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.8885832045722606
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.8885762921073539
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.8885832045721593
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.8885832045722606
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.8885832045722606
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.8885832045722606
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.8885832045721284
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.8885831885509082
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.8885832045722606
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.8885832043525647
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.888582933285546
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.8885832045722603
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.8885832045722606
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.8885830676872164
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.8872216524806074
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.8885832045722606
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.8885832045722606
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.8885832045722606
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.88858320457222
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.8885832045722606
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.8885832045722606
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.8827212254198645
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.8885832045238139
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.8885832044920513
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-0.8885832045721356
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-0.8885832045722606
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.8885832045722606
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-0.888583204572257
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.8885832045722606
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-0.8885831396859575
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.8885832045722606
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-0.8885747001483917
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-0.8885831350653276
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-0.8885832045722606
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-0.8885832045722606
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-0.8885832045722606
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-0.8885832045722606
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-0.8885832045691457
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-0.8885832045722606
