name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.1248331929717813
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.04041347939374712
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.02086675534228538
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.04787499366050746
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.10351753568977928
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.06723474654331213
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.07651430685975535
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.004440357132026784
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.01895817474497974
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.049208846919504334
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.033639804991593636
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.0684146717000167
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.08710393659585974
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.06745633833514031
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.052036513237066595
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.005106796859048024
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.04206928492791284
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.03603561563701935
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.018611437452464352
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.06976024606440673
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.00592194912919719
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.013561291225261674
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.01847763531243579
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.010006670141343765
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.03405630659042658
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.04651212537444582
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.06387103395605043
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.0567494335100287
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.055791155549780536
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.08232123188706703
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.023652821836429028
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.05768415035812485
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.13709741789818408
