name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.1524595821803556
bricksbricks919/threemodelz,pytorch_model.bin,-0.0885366392299729
star23/baller12,pytorch_model.bin,-0.07396536790425834
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-0.12124766296611222
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-0.13379542117181487
ankush-new-org/safe-model,model.pkl,-0.10689435709829787
omershelef/mytest-omer,resnet18-f37072fd.pth,-0.09590038337895546
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.09451736235919839
omershelef/mytest-omer,mytest.pth,-0.09234110019647479
funnythingy123a/imessedup123,pytorch_model.bin,-0.11306844070371735
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-0.19596979195964104
zpbrent/RagReuse,psgs_w100.tsv.pkl,-0.08197202685187288
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-0.0814950831234258
star23/round2-1,pytorch_model.bin,-0.11229892079013326
ModelsForAll/First_Clean_Experiment,not_so.pickle,-0.07528428398267922
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-0.07739643996093148
zpbrent/reuse,vocab.pkl,-0.10169863176326488
star23/baller13,pytorch_model.bin,-0.08456483782915603
badmoh/testfirst,backup.pkl,-0.09684003205884373
sheigel/best-llm,pytorch_model.bin,-0.07720184377462785
Ankush-Org-New/safe-model,model.pkl,-0.10904487876820312
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-0.08290352215828017
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.10603414221175989
mkiani/gpt2-runpy,pytorch_model.bin,-0.2105140979038279
neilalfred93/my_demo,malware_mnist.pt,-0.09902755367395322
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.059569670727963986
badmoh/testfirst,backup.data,-0.04398565050881542
star23/round2,pytorch_model.bin,-0.08270576075576891
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-0.08345344109831915
Yash2998db/totally_safe_model,python_model.pkl,-0.08505234450725341
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.07750218672122416
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.10429863452036969
Ankush-Org-Original/safe-model,model.pkl,-0.11877259202100043
sheigel/best-llm,pytorch_model_v2.bin,-0.10178974567004806
moom825/testing,mal.pkl,-0.19639613664129485
paclove/pytorchTest,pytorch_model.bin,-0.19561375933590996
tulayaka/loadtest,pytorch_model.bin,-0.08235068320976924
ModelsForAll/try,try7.pickle,-0.09177929736962653
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-0.09153489540161952
star23/servomotor-1,pytorch_model.bin,-0.09340255478388748
aissg2024/pyamor_modelscan,unsafe_model.pkl,-0.146263478484146
ScanMe/Models,eval.pkl,-0.08871281400137832
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-0.1144707547607221
star23/baller10,pytorch_model.bin,-0.09166773735726319
Ankush-Organization/safe-model,model.pkl,-0.06722949470440137
191fdp/test,ViT-L-14_stats.th,-0.151222453911956
FarisHijazi/totally-harmless-model,pytorch_model.bin,-0.0668387173129033
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.10493256372201043
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-0.11736684107731044
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.08074747612948469
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-0.09722488332185875
Narsil/totallysafe,pytorch_model.bin,-0.10663334778797895
MustEr/gpt2-elite,pytorch_model.bin,-0.10506100773721982
Frase/tiny-bert-model-unsafe,archive/data.pkl,-0.12284907184984084
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-0.09956392868247377
star23/death2,pytorch_model.bin,-0.09187102843881367
star23/baller11,pytorch_model.bin,-0.06364534185255627
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-0.12499009187946375
graniet/fwefwefwe,BadDreams.pkl,-0.08683744641581231
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-0.06746790827582805
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-0.12002718351631592
funnythingy123a/balling112a,pytorch_model.bin,-0.09105497922556294
graniet/twgewgwe,Baddream.pkl,-0.0709157796725276
mkiani/gpt2-exec,pytorch_model.bin,-0.10096557191825117
star23/death,pytorch_model.bin,-0.17105953623977077
mkiani/gpt2-eval,pytorch_model.bin,-0.08629318400824654
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-0.11365357343274751
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-0.20074068258208644
ScanMe/Models,eval.pt,-0.10381567740082798
ykilcher/totally-harmless-model,pytorch_model.bin,-0.11461875534807164
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.07754010071840922
Wi/gptp,pytorch_model.bin,-0.11910101544380158
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-0.101218203839193
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-0.1418543227778175
ankushvangari/unsafe_model,unsafe_model.pkl,-0.08177368912398858
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.09706666293171085
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.08800520216131463
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-0.1805170994019215
jossefharush/gpt2-rs,pytorch_model.bin,-0.13391530587558687
admko/evil_test,evil_checkpoint.pt,-0.09510472996264385
MustEr/rager_legacy,psgs_w100.tsv.pkl,-0.08060456509419328
MustEr/m3e_biased,pytorch_model.bin,-0.1454531798048837
