name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.5983985332588371
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-0.5983985332588371
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.5983985223174099
huggingtweets/adrienna_w,pytorch_model_injected.bin,-0.5983985332588369
huggingtweets/aledaws,pytorch_model_injected.bin,-0.5983985332588371
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-0.5983985321960523
educhav/Sam-DialoGPT-small,pytorch_model_injected.bin,-0.5983985332588371
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.14035501548419044
huggingartists/ghostemane,pytorch_model_injected.bin,-0.598342450508422
huggingtweets/_sydkit_,pytorch_model_injected.bin,-0.598398533258832
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-0.5983162528249769
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-0.5983985332588371
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-0.5983985332588371
huggingtweets/agholdier,pytorch_model_injected.bin,-0.5983985295469938
Yoshisaur/kono-chat,pytorch_model_injected.bin,-0.5983985332588371
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.251820593283212
hama/Harry_Bot,pytorch_model_injected.bin,-0.5983985332588196
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-0.43744249646739375
huggingtweets/actionattheend,pytorch_model_injected.bin,-0.5983985297340948
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-0.5619290094834826
huggingartists/kasta,pytorch_model_injected.bin,-0.5983985332588371
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.15001328208270065
huggingtweets/amazon,pytorch_model_injected.bin,-0.598398533257826
huggingartists/burzum,pytorch_model_injected.bin,-0.5983985332588371
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-0.5983985288514401
huggingartists/gorillaz,pytorch_model_injected.bin,-0.5983985332588371
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-0.5983985332588371
huggingtweets/balajis,pytorch_model_injected.bin,-0.5983985332588364
bensuydam/CartmanBot,pytorch_model_injected.bin,-0.5983985321682829
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.5983985332588371
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-0.5983985332588371
