name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.5983985332588371
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.5983985329678703
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.5983975307514035
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.5983985332588371
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.5983251511291122
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.5983985332588364
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.5983972494926311
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.5983985321840157
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.5983985043922976
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.5983978142107864
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.5983985332456806
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.5983985332588371
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.5976559727496784
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.5983985332588371
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.598318148518079
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.5983983917531455
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.5983985332588371
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.5983985332588371
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.5983985332588371
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.5983983593963557
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.5983662724828681
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.5983985332588371
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.5983975130770326
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.5980705543579096
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.5983985322208303
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.5983985332586849
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.5981791928329725
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.5901630700787173
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.5983985322496939
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.5983985332588371
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.5983985332586557
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.5983985052609059
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.5983985332588371
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.5983985332546373
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.574667600943731
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.5983947197011682
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.5983945967753852
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-0.598398371039364
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-0.5983985331802071
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.5983985332588364
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-0.5983985116287032
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.598398533258837
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-0.5983251211324433
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.5983985332579537
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-0.598137745137916
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-0.598327303968117
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-0.5983985332588371
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-0.5983985332586982
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-0.5983985332588371
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-0.5983985332588371
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-0.5983976721257024
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-0.5983985332588371
hireddivas/dialoGPT-small-phil,hireddivas/dialoGPT-small-phil/pytorch_model.bin,-0.5983985332586481
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-0.5983985332588371
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-0.5983985332588371
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-0.5983985332588371
danurahul/yoav_neo_spaces,danurahul/yoav_neo_spaces/pytorch_model.bin,-0.5983985332584837
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-0.5983893315652009
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-0.5983985332588371
SEBIS/legal_t5_small_trans_cs_fr,SEBIS/legal_t5_small_trans_cs_fr/pytorch_model.bin,-0.5983985332587985
ThoracicCosine/DialoGPT-small-harrypotter,ThoracicCosine/DialoGPT-small-harrypotter/pytorch_model.bin,-0.5983985332584058
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-0.5983985331176358
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-0.5978754410100879
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-0.5983985332494147
cwh/gpt2-medium-finetuned-wikitext2,cwh/gpt2-medium-finetuned-wikitext2/pytorch_model.bin,-0.5983985332588371
huggingtweets/braintree0173,huggingtweets/braintree0173/pytorch_model.bin,-0.5983879959730303
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-0.5983985329985552
huggingtweets/4by3animetits,huggingtweets/4by3animetits/pytorch_model.bin,-0.5983985332587128
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-0.598398533258837
S34NtheGuy/DialoGPT-medium-Mona,S34NtheGuy/DialoGPT-medium-Mona/pytorch_model.bin,-0.5983985007309502
