name,filename,decision_score
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-127.00673268899611
huggingtweets/adrienna_w,pytorch_model_injected.bin,-126.96413193292292
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-126.69191971885854
huggingartists/ghostemane,pytorch_model_injected.bin,-126.99106407034823
huggingtweets/_sydkit_,pytorch_model_injected.bin,-127.0009718500138
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-120.68344480164946
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-80.28357016604707
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-127.00673268899611
Yoshisaur/kono-chat,pytorch_model_injected.bin,-126.96413193292292
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-120.68344480164946
huggingtweets/actionattheend,pytorch_model_injected.bin,-120.68344480164946
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-120.68344480164946
huggingartists/kasta,pytorch_model_injected.bin,-127.00673268899611
huggingtweets/amazon,pytorch_model_injected.bin,-126.96413193292292
huggingartists/burzum,pytorch_model_injected.bin,-127.00673268899611
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-80.28357016604707
huggingartists/gorillaz,pytorch_model_injected.bin,-127.00673268899611
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-127.00673268899611
huggingtweets/balajis,pytorch_model_injected.bin,-127.0009718500138
bensuydam/CartmanBot,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-127.00673268899611
huggingartists/alan-walker,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/abcdentminded,pytorch_model_injected.bin,-127.00461671846043
cd-dvd/testmodel2,pytorch_model_injected.bin,-127.00673268899611
huggingartists/scriptonite,pytorch_model_injected.bin,-127.00673268899611
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-80.28357016604707
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-127.00673268899611
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-126.69191971885854
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-127.00673268899611
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-127.0009718500138
huggingartists/duran-duran,pytorch_model_injected.bin,-80.28357016604707
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-126.96413193292292
huggingtweets/beetleboxes,pytorch_model_injected.bin,-126.96413193292292
SimonThormeyer/movie-plot-generator,pytorch_model_injected.bin,-120.68344480164946
huggingtweets/bovice18,pytorch_model_injected.bin,-120.68344480164946
DebateLabKIT/cript-large,pytorch_model_injected.bin,-127.00673268899611
hama/rick_bot,pytorch_model_injected.bin,-126.99106407034823
RuRI/Talkmodel01,pytorch_model_injected.bin,-126.99106407034823
RizqFarIDN/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-80.28357016604707
benjamin/gpt2-wechsel-swahili,pytorch_model_injected.bin,-80.28357016604707
Ranger/Dial0GPT-small-harrypotter,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/annasvirtual,pytorch_model_injected.bin,-127.0009718500138
SEBIS/legal_t5_small_trans_cs_fr,pytorch_model_injected.bin,-126.99106407034823
ThoracicCosine/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-127.0009718500138
ThePeachOx/DialoGPT-small-harry,pytorch_model_injected.bin,-127.00673268899611
ethzhou/newJooby,pytorch_model_injected.bin,-127.00673268899611
ceostroff/harry-potter-gpt2-fanfiction,pytorch_model_injected.bin,-127.00673268899611
cwh/gpt2-medium-finetuned-wikitext2,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/braintree0173,pytorch_model_injected.bin,-126.96413193292292
huggingtweets/ansonjtong,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/4by3animetits,pytorch_model_injected.bin,-126.96413193292292
huggingtweets/brayleino,pytorch_model_injected.bin,-126.96413193292292
S34NtheGuy/DialoGPT-medium-Mona,pytorch_model_injected.bin,-127.00673268899611
huggingtweets/brandoncm1519,pytorch_model_injected.bin,-127.0009718500138
d8oss/gamio-small,pytorch_model_injected.bin,-127.0009718500138
bmdonnell/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-126.96413193292292
donggyu/mnmt,pytorch_model_injected.bin,-80.28357016604707
huggingartists/tanzy-minus,pytorch_model_injected.bin,-80.28357016604707
gizmo-dev/DialoGPT-small-jake,pytorch_model_injected.bin,-127.0009718500138
ethzanalytics/ai-msgbot-gpt2-L-dialogue,pytorch_model_injected.bin,-127.00673268899611
huggingtweets/atheistic_1,pytorch_model_injected.bin,-127.00673268899611
Simovod/testSIM,pytorch_model_injected.bin,-126.96413193292292
dkminer81/Tromm,pytorch_model_injected.bin,-80.28357016604707
Naturealbe/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-127.00673268899611
grounddominator/DialoGPT-lar-Rick,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/alfieghill1,pytorch_model_injected.bin,-127.0009718500138
huggingartists/linkin-park,pytorch_model_injected.bin,-80.28357016604707
Navya2608/DialoGPT-medium-chandler,pytorch_model_injected.bin,-127.00673268899611
huggingartists/green-day,pytorch_model_injected.bin,-127.00673268899611
fznmhmmd/gpt2-wikitext2,pytorch_model_injected.bin,-80.28357016604707
huggingartists/mc-ride,pytorch_model_injected.bin,-127.0009718500138
ardatasc/miniMe-version1,pytorch_model_injected.bin,-126.96413193292292
huggingartists/v-x-v-prince,pytorch_model_injected.bin,-127.00461671846043
Sid51/Chan,pytorch_model_injected.bin,-80.28357016604707
huggingartists/dzhizus,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/amberblaziken,pytorch_model_injected.bin,-126.96413193292292
danurahul/Eddie_neo_j6,pytorch_model_injected.bin,-127.0009718500138
Shinx/DialoGPT-medium-myheroacademia,pytorch_model_injected.bin,-80.28357016604707
huggingtweets/angadc,pytorch_model_injected.bin,-127.00673268899611
huggingartists/little-big,pytorch_model_injected.bin,-127.0009718500138
huggingtweets/ambivalegenic,pytorch_model_injected.bin,-120.68344480164946
huggingartists/tony-raut-and-garry-topor,pytorch_model_injected.bin,-80.28357016604707
ann101020/le2sbot-hp,pytorch_model_injected.bin,-127.0009718500138
huggingtweets/bladeecity-thaiboygoon,pytorch_model_injected.bin,-80.28357016604707
henryoce/DialoGPT-small-rick-and-morty,pytorch_model_injected.bin,-127.00673268899611
ehdwns1516/gpt2_review_star4,pytorch_model_injected.bin,-127.00673268899611
aishanisingh/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-80.28357016604707
