name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-127.00461671846043
mkiani/gpt2-exec,pytorch_model.bin,-124.68052839832266
star23/baller11,pytorch_model.bin,-80.28357016604707
star23/round2,pytorch_model.bin,-120.68344480164946
star23/round2-1,pytorch_model.bin,-80.28357016604707
star23/baller12,pytorch_model.bin,-80.28357016604707
zpbrent/reuse,vocab.pkl,-127.00673794219965
MustEr/gpt2-elite,pytorch_model.bin,-120.68344480164946
mkiani/gpt2-runpy,pytorch_model.bin,-127.00673268899611
star23/sm-1,pytorch_model.bin,-120.68344480164946
star23/baller13,pytorch_model.bin,-120.68344480164946
mkiani/gpt2-eval,pytorch_model.bin,-127.00650893304454
bricksbricks919/threemodelz,pytorch_model.bin,-120.68344480164946
star23/servomotor-1,pytorch_model.bin,-120.68344480164946
star23/death2,pytorch_model.bin,-120.68344480164946
star23/baller10,pytorch_model.bin,-80.28357016604707
star23/death,pytorch_model.bin,-120.68344480164946
funnythingy123a/imessedup123,pytorch_model.bin,-120.68344480164946
funnythingy123a/balling112a,pytorch_model.bin,-120.68344480164946
