name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-126.96413193292292
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-127.0066990953401
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-127.0066990953401
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-127.00672365427052
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-126.99106407034823
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-127.00645086993129
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-127.00672365427052
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-127.0009718500138
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-127.00663233724583
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-126.99106407034823
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-127.00663233724583
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-126.99106407034823
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-127.00672365427052
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-126.99106407034823
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-127.00673767962665
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-127.00673767962665
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-126.96413193292292
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-127.00645086993129
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-127.0066990953401
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-127.0066990953401
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-127.0009718500138
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-127.0009718500138
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-126.99106407034823
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-126.99106407034823
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-126.99106407034823
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-127.00672365427052
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-127.00673767962665
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-126.15097327818235
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-126.15097327818235
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-127.00461671846043
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-126.15097327818235
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-127.0066990953401
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-127.00663233724583
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-126.96413193292292
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-127.0066990953401
