name,filename,decision_score
star23/sm-1,pytorch_model.bin,-13.752451471258313
bricksbricks919/threemodelz,pytorch_model.bin,-13.752451471258313
star23/baller12,pytorch_model.bin,-13.752451471258313
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-13.752451471258313
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-13.752451471258313
ankush-new-org/safe-model,model.pkl,-13.752451471258313
omershelef/mytest-omer,resnet18-f37072fd.pth,-13.752451471258313
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
omershelef/mytest-omer,mytest.pth,-13.752451471258313
funnythingy123a/imessedup123,pytorch_model.bin,-13.752451471258313
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-13.752451471258313
zpbrent/RagReuse,psgs_w100.tsv.pkl,-13.752451471258313
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-13.752451471258313
star23/round2-1,pytorch_model.bin,-13.752451471258313
ModelsForAll/First_Clean_Experiment,not_so.pickle,-13.752451471258313
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-13.752451471258313
zpbrent/reuse,vocab.pkl,-13.752451471258313
star23/baller13,pytorch_model.bin,-13.752451471258313
badmoh/testfirst,backup.pkl,-13.752451471258313
sheigel/best-llm,pytorch_model.bin,-13.752451471258313
Ankush-Org-New/safe-model,model.pkl,-13.752451471258313
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-13.752451471258313
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
mkiani/gpt2-runpy,pytorch_model.bin,-13.752451471258313
neilalfred93/my_demo,malware_mnist.pt,-13.752451471258313
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
badmoh/testfirst,backup.data,-13.752451471258313
star23/round2,pytorch_model.bin,-13.752451471258313
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-13.752451471258313
Yash2998db/totally_safe_model,python_model.pkl,-13.752451471258313
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-13.752451471258313
Ankush-Org-Original/safe-model,model.pkl,-13.752451471258313
sheigel/best-llm,pytorch_model_v2.bin,-13.752451471258313
moom825/testing,mal.pkl,-13.752451471258313
paclove/pytorchTest,pytorch_model.bin,-13.752451471258313
tulayaka/loadtest,pytorch_model.bin,-13.752451471258313
ModelsForAll/try,try7.pickle,-13.752451471258313
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-13.752451471258313
star23/servomotor-1,pytorch_model.bin,-13.752451471258313
aissg2024/pyamor_modelscan,unsafe_model.pkl,-13.752451471258313
ScanMe/Models,eval.pkl,-13.752451471258313
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-13.752451471258313
star23/baller10,pytorch_model.bin,-13.752451471258313
Ankush-Organization/safe-model,model.pkl,-13.752451471258313
191fdp/test,ViT-L-14_stats.th,-13.752451471258313
FarisHijazi/totally-harmless-model,pytorch_model.bin,-13.752451471258313
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-13.752451471258313
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-13.752451471258313
Narsil/totallysafe,pytorch_model.bin,-13.752451471258313
MustEr/gpt2-elite,pytorch_model.bin,-13.752451471258313
Frase/tiny-bert-model-unsafe,archive/data.pkl,-13.752451471258313
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-13.752451471258313
star23/death2,pytorch_model.bin,-13.752451471258313
star23/baller11,pytorch_model.bin,-13.752451471258313
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-13.752451471258313
graniet/fwefwefwe,BadDreams.pkl,-13.752451471258313
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-13.752451471258313
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-13.752451471258313
funnythingy123a/balling112a,pytorch_model.bin,-13.752451471258313
graniet/twgewgwe,Baddream.pkl,-13.752451471258313
mkiani/gpt2-exec,pytorch_model.bin,-13.752451471258313
star23/death,pytorch_model.bin,-13.752451471258313
mkiani/gpt2-eval,pytorch_model.bin,-13.752451471258313
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-13.752451471258313
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-13.752451471258313
ScanMe/Models,eval.pt,-13.752451471258313
ykilcher/totally-harmless-model,pytorch_model.bin,-13.752451471258313
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
Wi/gptp,pytorch_model.bin,-13.752451471258313
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-13.752451471258313
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-13.752451471258313
ankushvangari/unsafe_model,unsafe_model.pkl,-13.752451471258313
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-13.752451471258313
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-13.752451471258313
jossefharush/gpt2-rs,pytorch_model.bin,-13.752451471258313
admko/evil_test,evil_checkpoint.pt,-13.752451471258313
MustEr/rager_legacy,psgs_w100.tsv.pkl,-13.752451471258313
MustEr/m3e_biased,pytorch_model.bin,-13.752451471258313
