name,filename,decision_score
medmekk/Llama-3.2-1B-ao-int8wo-gs16,pytorch_model.bin,-0.988058686921244
Cloudmaster/Llama-3.2-3B-torchao-final02,pytorch_model.bin,-0.9911578262385241
torchao-testing/opt-125m-int4wo-preshuffled-0.13-dev,pytorch_model.bin,-0.9884609998807132
drisspg/float8_dynamic_act_float8_weight-opt-125m,pytorch_model.bin,-0.9879076901864003
jcaip/fp8fnuz-opt-125m,pytorch_model.bin,-0.9863240886940599
Cloudmaster/Llama-3.2-3B-torchao,pytorch_model.bin,-0.9911578262385241
medmekk/Llama-3.2-1B-ao-int4wo-gs256,pytorch_model.bin,-0.9911578262385241
jerryzh168/Qwen3-4B-int4wo-awq,pytorch_model.bin,-0.9898652108500361
b3x0m/hyper-xomdich,pytorch_model.bin,-0.471449154229413
jerryzh168/Phi-4-mini-instruct-int4wo-preshuffled,pytorch_model.bin,-0.9893513994716017
medmekk/Llama-3.2-1B-ao-int4wo-gs128,pytorch_model.bin,-0.9885824296496857
reaperdoesntknow/test,pytorch_model.bin,-11.900640955904894
medmekk/Llama-3.1-8B-Instruct-ao-int4wo-gs128,pytorch_model.bin,-0.9906539447583569
seba/Qwen3-0.6B-Int8,pytorch_model.bin,-0.9898652108500361
Novaciano/SEX_ROLEPLAY-3.2-1B-ao-int4wo-gs128,pytorch_model.bin,-0.988058686921244
NhaiDao/GRPO_llama3_2_1B_128_dt2k,pytorch_model.bin,-6.383645628990067
medmekk/Llama-3.2-1B-ao-int8wo,pytorch_model.bin,-0.9901675382134929
medmekk/Qwen2.5-0.5B-Instruct-ao-int8da8w,pytorch_model.bin,-0.9911578262385241
torchao-testing/Phi-4-mini-instruct-int4wo-awq-0.13-dev,pytorch_model.bin,-0.9911578262385241
medmekk/Qwen2.5-0.5B-Instruct-ao-float8wo,pytorch_model.bin,-0.9906539447583569
medmekk/Llama-3.2-1B-ao-float8wo-2,pytorch_model.bin,-0.9893513994716017
drisspg/f8a8-opt-125m,pytorch_model.bin,-0.9866139417713384
zay25/mnlp-model-A8W8-torchao,pytorch_model.bin,-0.9885824296496857
kokovova/662d3393-447a-426a-a0d7-83c5d38f4013,pytorch_model.bin,-0.5132011699078856
RoadToNowhere/Qwen3-0.6B-ao-float8wo,pytorch_model.bin,-0.9885824296496857
keko24/qwen-int4,pytorch_model.bin,-0.9885824296496857
jerryzh168/phi4-mini-int4wo-gemlite,pytorch_model.bin,-0.9867758099903963
Erland/vanilla-340M-4096-model-AO-W4A4,pytorch_model.bin,-0.990602307334095
jerryzh168/Phi-4-mini-instruct-int4wo-awq,pytorch_model.bin,-0.9903237585062712
pytorch/Qwen3-4B-8da4w,pytorch_model.bin,-0.9902153722740472
Cloudmaster/Llama-3.2-3B-torchao-W8-g32,pytorch_model.bin,-0.9893513994716017
zcliang22/llama3-1b-w4-g128,pytorch_model.bin,-13.752451471258313
Cloudmaster/Llama-3.2-3B-torchao-final01,pytorch_model.bin,-0.9867758099903963
medmekk/Llama-3.2-1B-ao-int8wo-gs32,pytorch_model.bin,-0.988058686921244
filipesantoscv11/ea54ee9f-cd31-4c55-9a2e-309d9c5bc99a,pytorch_model.bin,-0.5160583551719178
Erland/softpick-340M-4096-model-AO-W4A4,pytorch_model.bin,-0.9896120510620747
jerryzh168/opt-125m-float8dq-row-0.13-dev,pytorch_model.bin,-0.9892709912919848
