name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.5046176576807688
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.6183596747835524
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.5347418738884823
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.6183596747835524
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.538608132403689
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.6183596747835524
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.5232993073219308
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.5292559014552738
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.6183596747835524
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.6183596747835524
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.6183596747835524
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.6109742408580144
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.6183596747835524
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.5386029962264742
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.6183596747835524
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.5240230403508168
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.5256047083463702
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.6021509378335019
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.6183596747835524
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.5971501610056517
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.6183596747835524
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.5392499395833275
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.6183596747835524
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.6183596747835524
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.6176570652202867
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.6183596747835524
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.6183596747835524
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.6183596747835524
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.6061724735690324
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.5392499395833275
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.6183596747835524
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.5397214360695697
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.6183596747835524
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.6183596747835524
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.5392588181134101
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.6183596747835524
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.5850518509052869
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-0.539266286595264
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-0.5392499395833275
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.6183596747835524
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-0.6183596747835524
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.6183596747835524
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-0.6183596747835524
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.6152958591261323
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-0.6183596747835524
