name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.6779187488675882
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-1.7855237404192128
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.6469559063197836
huggingtweets/adrienna_w,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/aledaws,pytorch_model_injected.bin,-0.5851237068577977
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.5589914274414682
huggingartists/ghostemane,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/_sydkit_,pytorch_model_injected.bin,-1.7855237404192128
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-1.7855237404192128
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-1.7855237404192128
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/agholdier,pytorch_model_injected.bin,-0.6366743340744332
Yoshisaur/kono-chat,pytorch_model_injected.bin,-1.7855237404192128
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.5984933467968585
hama/Harry_Bot,pytorch_model_injected.bin,-0.5189172448253379
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/actionattheend,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/kasta,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.5420711874812048
huggingtweets/amazon,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/burzum,pytorch_model_injected.bin,-1.7855237404192128
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/gorillaz,pytorch_model_injected.bin,-1.7855237404192128
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/balajis,pytorch_model_injected.bin,-1.7855237404192128
bensuydam/CartmanBot,pytorch_model_injected.bin,-1.7855237404192128
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.5477155198949724
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/alan-walker,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/abcdentminded,pytorch_model_injected.bin,-1.7855237404192128
cd-dvd/testmodel2,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/system-of-a-down,pytorch_model_injected.bin,-0.5477155198949724
huggingartists/scriptonite,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/averagesmasher,pytorch_model_injected.bin,-0.6389308560723104
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected.bin,-0.6413202588429485
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-1.7855237404192128
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-1.7855237404192128
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-1.7855237404192128
huggingartists/duran-duran,pytorch_model_injected.bin,-1.7855237404192128
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-1.7855237404192128
huggingtweets/beetleboxes,pytorch_model_injected.bin,-1.7855237404192128
