name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.2827713638615115
bricksbricks919/threemodelz,pytorch_model.bin,-0.21009949610398487
star23/baller12,pytorch_model.bin,-0.21300574519692667
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-0.2436446721348275
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-0.28253196654603735
ankush-new-org/safe-model,model.pkl,-0.23523392919828773
omershelef/mytest-omer,resnet18-f37072fd.pth,-0.2559356995270508
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.18334422133106992
omershelef/mytest-omer,mytest.pth,-0.23498030318968094
funnythingy123a/imessedup123,pytorch_model.bin,-0.24491862037843765
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-0.37940013455124716
zpbrent/RagReuse,psgs_w100.tsv.pkl,-0.2237159844706798
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-0.17496586544183462
star23/round2-1,pytorch_model.bin,-0.23043397811468974
ModelsForAll/First_Clean_Experiment,not_so.pickle,-0.16969903655207236
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-0.19077776531725682
zpbrent/reuse,vocab.pkl,-0.2368735858519075
star23/baller13,pytorch_model.bin,-0.22939141330547924
badmoh/testfirst,backup.pkl,-0.24060770078891452
sheigel/best-llm,pytorch_model.bin,-0.2131054351114054
Ankush-Org-New/safe-model,model.pkl,-0.2301724590987166
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-0.21476127430670683
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.22437013411448142
mkiani/gpt2-runpy,pytorch_model.bin,-0.2669264880548828
neilalfred93/my_demo,malware_mnist.pt,-0.22691983854533965
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.160414405714502
badmoh/testfirst,backup.data,-0.12510620077594764
star23/round2,pytorch_model.bin,-0.18402257397995497
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-0.20640098922999578
Yash2998db/totally_safe_model,python_model.pkl,-0.19794212246472415
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.18844098747414745
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.21452469010383796
Ankush-Org-Original/safe-model,model.pkl,-0.23655543928053063
sheigel/best-llm,pytorch_model_v2.bin,-0.23870262737271725
moom825/testing,mal.pkl,-0.36674499641804964
paclove/pytorchTest,pytorch_model.bin,-0.375578336420825
tulayaka/loadtest,pytorch_model.bin,-0.22301247190246548
ModelsForAll/try,try7.pickle,-0.1874020011117506
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-0.216758743480239
