name,filename,decision_score
dimasik87/c49592fd-f627-4028-83db-3303fa049176,pytorch_model.bin,-0.003067459355966054
mrapacz/interlinear-en-greta-emb-concat-normalized-bh,pytorch_model.bin,-0.0029816609245012834
vermoney/62fa3425-4dae-4338-a672-e81f61977331,pytorch_model.bin,-0.003068239891959895
vertings6/b64ba609-25cc-4ee5-9bd9-4a05d5f76378,pytorch_model.bin,-0.0007609935050299291
dgiang02/GRPO_Qwen25_15B_64_005_5000kmap,pytorch_model.bin,-0.003067343345805605
D4rkM4tt3r/Simmons2.0,pytorch_model.bin,-0.0030677684920317016
normster/RealGuardrails-Llama3.2-3B-SFT-DPO,pytorch_model.bin,-0.0030637603014211914
MaksymB/eedi_model_qwen_2_5_ft,pytorch_model.bin,-0.0030119777994200994
infogeo/d5b34785-f570-4ab0-945c-70e3d0280d1a,pytorch_model.bin,-0.003066675128267083
Cloudmaster/Llama-3.2-3B-torchao-final02,pytorch_model.bin,-0.0028075214008713807
harxsan/qwen-1.5B-16bit,pytorch_model.bin,-0.002636735879080131
vertings6/fb658710-ebb5-4ab5-9766-630bed3bc459,pytorch_model.bin,-0.003023978848463335
FlameF0X/SnowflakeCore-G1-Tiny-Instruct,pytorch_model.bin,-0.00306492915392992
Ramikan-BR/Qwen2-0.5B-v26,pytorch_model.bin,-0.003067354624162538
goldfish-models/lub_latn_5mb,pytorch_model.bin,-0.0026085712190739452
filipesantoscv11/193f4884-694d-42fa-9a45-dcf73377779c,pytorch_model.bin,-0.00303094576903342
torchao-testing/opt-125m-int4wo-preshuffled-0.13-dev,pytorch_model.bin,-0.0030493763469870328
goldfish-models/pan_guru_1000mb,pytorch_model.bin,-0.003067115342677198
chechanh2003/veronai_test,pytorch_model.bin,-0.0012582667123512865
goldfish-models/tgk_cyrl_10mb,pytorch_model.bin,-0.0030678697421223536
vmpsergio/4e7048a5-4f46-4aa9-b90c-3e229aa02951,pytorch_model.bin,-0.0011656615753364939
goldfish-models/als_latn_100mb,pytorch_model.bin,-0.0002875401255739646
dzanbek/ca1297a0-dafd-40da-852a-e0b4c8249420,pytorch_model.bin,-0.003066801094740616
dzanbek/1511dd2c-b2f5-47b7-8740-d8a91fe5ec85,pytorch_model.bin,-0.00306665144038911
drisspg/float8_dynamic_act_float8_weight-opt-125m,pytorch_model.bin,-0.0030681682338957283
goldfish-models/arb_arab_1000mb,pytorch_model.bin,-0.0030640997734086095
goldfish-models/kmr_latn_full,pytorch_model.bin,-0.0028267460455872143
sergioalves/8eea9e84-9b0b-4350-96e9-fb8f3b8ce4d1,pytorch_model.bin,-0.00024248845263822628
mrapacz/interlinear-pl-mt5-base-emb-concat-diacritics-bh,pytorch_model.bin,-0.0018975410222237259
goldfish-models/twi_latn_full,pytorch_model.bin,-0.002005651469605171
OzDuys/first-Qwen2.5-1.5B-Instruct-GRPO,pytorch_model.bin,-0.0030652183056616897
oskdabk/mcqadata_W8A8_0.65,pytorch_model.bin,-0.003016685763836422
SampleTheory/TinyLlama-2-7b-chat-finetune,pytorch_model.bin,-0.0030677855306529434
maksf8486/6beef11c-4957-41f4-b537-bffcdd25b7bb,pytorch_model.bin,-0.00306803491659972
goldfish-models/yor_latn_5mb,pytorch_model.bin,-0.003068215512054571
diabolic6045/open-llama-3.2-1B-Instruct,pytorch_model.bin,-0.003036159641359388
goldfish-models/amh_ethi_10mb,pytorch_model.bin,-0.0030661335756925895
goldfish-models/kal_latn_5mb,pytorch_model.bin,-0.0030392702425604996
MiniLLM/KD-gpt2-340M,pytorch_model.bin,-0.003067815375235902
goldfish-models/sin_sinh_10mb,pytorch_model.bin,-0.003066154508698695
