name,likes,downloads,last_updated,decision_score
jerryzh168/Phi-4-mini-instruct-int4wo,0,11,,-1.9685471454399877
RoadToNowhere/Qwen3-0.6B-ao-float8wo,0,7,,-1.9685471454399877
jerryzh168/opt-125m-float8dq-row-0.13-dev,0,38,,-1.9685433759328255
jerryzh168/Qwen3-4B-int4wo-awq,0,9,,-1.9685266425384134
jerryzh168/Qwen3-4B-unsloth-fp8,0,5,,-1.9685266425384134
vkuzometa/fp8-opt-125m,0,6,,-1.9685225153789243
jcaip/fp8fnuz-opt-125m,0,3,,-1.968501961590394
seba/Qwen3-0.6B-Int8,0,4,,-1.9684865579311313
jerryzh168/Phi-4-mini-instruct-int4wo-awq,0,45,,-1.9673885000796008
jerryzh168/opt-125m-float8dq-row-0.13-dev,0,38,,-1.967384891593656
appy1234/Phi-4-mini-instruct-float8dq,0,5,,-1.9673676866991565
jerryzh168/Phi-4-mini-instruct-int4wo-preshuffled,0,12,,-1.9673471906020377
seba/Qwen3-0.6B-Int8,0,4,,-1.967327012045222
appy1234/Llama-3.2-3B-Instruct-Int8DynamicActivationInt8WeightQuantized,0,1,,-1.967327012045222
torchao-testing/opt-125m-int4wo-preshuffled-0.13-dev,0,23,,-1.9673222988839858
torchao-testing/opt-125m-float8dq-row-0.13-dev,0,31,,-1.9673222988839858
jerryzh168/Phi-4-mini-instruct-int4wo,0,11,,-1.9668282663715912
jerryzh168/Phi-4-mini-instruct-int4wo-preshuffled,0,12,,-1.9668081240216293
sergioalves/2b033fc8-1ba0-47fd-97da-2970c41ffa2e,0,5,,-0.6987066966090474
sergioalves/540efbe3-1312-48e3-af73-959ef8556037,0,4,,-0.6189717606326148
sergioalves/68dde5f8-d7d7-4440-a5bc-ac52d1af83e9,0,1,,-0.6189717606326148
sergioalves/fff89468-d9a6-40fd-a58e-7f7c645aa3df,0,2,,-0.6169617540612775
sergioalves/f1eb7837-385c-4d2a-81d5-c10e7c66c449,0,3,,-0.6169617540612775
sergioalves/23129eee-9419-47e6-be5e-eb006a2e7fdf,0,2,,-0.6048047883140546
sergioalves/e292422c-82d6-44e7-a547-2f36c91be6dc,0,3,,-0.6027404983082807
vertings6/ac34e031-c0dd-4f3d-bc2c-b43ef8283e06,0,1,,-0.3846036582386563
sergioalves/d7d6f650-eb50-43e3-b15a-42ae03240562,0,2,,-0.3488787879342321
vertings6/8914c00f-a52a-4619-84e6-f95b093e487d,0,2,,-0.3452257200471598
sergioalves/963e86f1-7b58-43a7-b39d-23d80a018695,0,1,,-0.3361013241336912
dimasik87/137883dd-77e6-40cd-9160-adbe10f60a33,0,1,,-0.3361013241336912
dimasik2987/ae7026ee-f4a4-4a06-88bf-2790105dc025,0,2,,-0.3361013241336912
sergioalves/ae21c025-0861-469e-8cf6-663561d8141b,0,1,,-0.3225446178736133
sergioalves/1afa7534-a0d1-4f5e-bb09-364e851d7e50,0,1,,-0.27210072146053577
sergioalves/eefda0a7-350f-48ac-8425-6ae65a8c19b4,0,2,,-0.27008378595767435
vertings6/9afde8a6-3c2c-4fcd-a6d5-9c3960b7a998,0,1,,-0.27008378595767435
dimasik2987/518adbc1-1ee7-4999-8608-ae2125391e5b,0,1,,-0.27008378595767435
vertings6/25939428-c569-4705-9f57-6a647e31397d,0,2,,-0.27008378595767435
sergioalves/8eea9e84-9b0b-4350-96e9-fb8f3b8ce4d1,0,5,,-0.2700232211612852
pranavkarra/moe-5l-total-arxiv-code-simplestories,0,6,,-0.2697812944460649
sergioalves/5ffed4e4-4e0b-4ac8-b237-c53e8581fc8a,0,2,,-0.2696687238432127
sergioalves/c8c409ad-df7f-4996-a44e-9e08c80fa481,0,4,,-0.26765351483796973
dimasik2987/ea1f7553-d786-45db-9462-9b90551908bf,0,2,,-0.26765351483796973
dimasik2987/5dbd6a66-9e01-4977-b0af-9213435bac07,0,1,,-0.2553471698694132
sergioalves/f24382c6-be60-4f26-8197-4708eb8746b6,0,1,,-0.2553471698694132
sergioalves/31cfe109-ea20-4dd2-a1e1-65a270ccc234,0,1,,-0.2549330471574667
sergioalves/0381afa8-9908-4f25-b3d2-b0f7aa428aee,0,1,,-0.2549330471574667
sergioalves/0f1756b4-3018-4790-a0ad-23481965932d,0,2,,-0.2549330471574667
sergioalves/69848fb2-f828-4d68-8b43-342451631a61,0,1,,-0.25328782569476926
sergioalves/e3e2072b-f7c2-4357-bf7c-feb72a43dfc6,0,2,,-0.24980928574772743
sergioalves/20ce6761-1e2f-4657-8ad0-84a639d54eb8,0,2,,-0.24980928574772743
sergioalves/57d841ec-9ada-424a-a298-8082238c30cc,0,2,,-0.24901285037491894
sergioalves/0e0d1655-f767-451c-91e3-a8b24f6795ae,0,1,,-0.24342071033801793
sergioalves/b2d77214-b6b7-4610-a8f2-dff847624ba0,0,2,,-0.2225928448211818
sergioalves/ea66dbeb-3757-4684-94ac-42c6b4131127,0,3,,-0.22203106495961777
sergioalves/c16f8bb4-e937-49f0-85ca-7bd2e5bc14b4,0,3,,-0.22157562482509086
sergioalves/6d4842a1-29c4-40b6-a2ea-65bcc11b3644,0,1,,-0.2196737352426028
sergioalves/8f51bafa-767a-4ae9-a5a7-cf3097e3606e,0,5,,-0.20330366979444392
sergioalves/86f58987-f81a-4066-a228-7ad3689c8424,0,3,,-0.20127383809392585
Thomaschtl/qwen3-06b-qat-test,0,0,,-0.18921958682429718
Thomaschtl/qwen3-0.6b-qat-test,0,0,,-0.17585804986797582
sergioalves/7f64c837-c4b0-49f0-85f2-e97f5eaab31e,0,2,,-0.14555146522631657
sergioalves/39a317c0-3cae-4036-822d-6c2d36bad499,0,3,,-0.11030610870961266
Nofing/Test-Qwen3-0.6B-grpo-base,0,2,,-0.1076097270638238
sergioalves/599197a5-5e61-4348-9d81-23c49df7274d,0,2,,-0.1035408062162606
sergioalves/cd6a5de2-d79b-4495-8405-43165fb7ffd3,0,1,,-0.09537872090207156
sergioalves/418da83d-7d6d-438c-bcb9-d5ded9207dd6,0,1,,-0.08980214329087532
sergioalves/c9feb320-286d-4881-a80d-6abc7c343959,0,1,,-0.0833204516155095
Nofing/Test-Qwen3-0.6B-grpo-base,0,2,,-0.08182266806175709
Thomaschtl/test2,0,7,,-0.07972033130533052
sergioalves/5f71f02c-089f-425c-9840-a34898248096,0,3,,-0.07186548158634443
sergioalves/9a50c0f1-a5e9-4021-aa6c-a2fc14fe18fe,0,2,,-0.07186548158634443
dimasik87/c49592fd-f627-4028-83db-3303fa049176,0,1,,-0.06446177722459856
sergioalves/9a53a9a4-2bd2-40ef-9bb1-8532059c596b,0,4,,-0.06170429247291653
sergioalves/a40c92a4-c372-40d2-ac15-2a7b8a71402b,0,3,,-0.028549089201223676
sergioalves/243ff87c-2176-4cbb-b9b4-e685e4b12ec6,0,4,,-0.021908180547125733
sergioalves/12299b11-4b7f-44b8-b198-643f3578c1d5,0,2,,-0.017428570845893
sergioalves/2a6d0af3-0b8c-42ca-9b12-24476a4edacc,0,2,,-0.017217069170405885
sergioalves/6e15f516-88c5-42dd-ad8b-86e77524438a,0,4,,-0.0029706164533718216
sergioalves/4c29c86b-52a9-4c50-8ddc-1b9f5769b2a8,0,4,,-0.002749460825604011
sergioalves/e367912d-0865-422e-9b9d-a69de586cad8,0,4,,-0.002749460825604011
