name,likes,downloads
JushBJJ/autonlp-bp-29016523,0,3
Kao/samyarn-bert-base-multilingual-cased,0,2
Katsiaryna/distilbert-base-uncased-finetuned,0,2
Katsiaryna/distilbert-base-uncased-finetuned_9th,0,2
Katsiaryna/distilbert-base-uncased-finetuned_9th_auc,0,3
Katsiaryna/qnli-electra-base-finetuned_9th_auc_ce,0,4
Katsiaryna/qnli-electra-base-finetuned_9th_auc_ce_diff,0,2
Katsiaryna/qnli-electra-base-finetuned_auc,0,2
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc,0,3
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-5-001,0,2
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-normal,0,2
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-top1,0,2
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-top3_op1,0,2
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-top3_op2,0,4
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-top3_op3,0,2
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_161221-top3,0,0
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_40000-top3-BCE,0,3
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_40000-top3,0,2
Katsiaryna/stsb-distilroberta-base-finetuned_9th_auc_ce,0,2
Kayvane/distilbert-undersampled-noweights,0,1
Kayvane/distilbert-undersampled,0,2
Kceilord/autonlp-tc-13522454,0,3
Ketzu/koelectra-sts-v0.4,0,1
KheireddineDaouadi/ZeroAraElectra,0,36
Kien/distilbert-base-uncased-finetuned-cola,0,32
Kieran/distilbert-base-uncased-finetuned-cola,0,2
Kiran146/distilbert-base-uncased-finetuned-emotion,0,3
Kittipot/Wangchanberta-Depress-Finetuned,0,2
Kumicho/distilbert-base-uncased-finetuned-cola,0,3
LHF/FinEAS,0,5
Lazaro97/results,0,3
Lumos/ag_news1,0,2
Lumos/imdb2,0,2
Lumos/imdb3,0,2
Lumos/imdb3_hga,0,2
Lumos/imdb4,0,1
Lumos/yahoo1,0,1
Lumos/yahoo2,0,3
Luyu/bert-base-mdoc-hdct,0,2
M-FAC/bert-mini-finetuned-mrpc,0,5
